#  N,nequil,mcs =      2500       200    100000
#  T_start,T_delta,T_end =   4.000000     -0.2000000      0.2000000    
#    T       E       C        chi   accept    M      |M|
   4.000000     -0.5574265      0.1702805       1.069558      0.6093479      0.6253760E-03  0.3301251E-01
   3.800000     -0.5939128      0.1952551       1.262352      0.5869358     -0.4893440E-03  0.3488251E-01
   3.600000     -0.6362693      0.2288962       1.559285      0.5616851      0.4286640E-03  0.3784466E-01
   3.400000     -0.6858386      0.2702533       2.025015      0.5329556      0.6553440E-03  0.4197482E-01
   3.200000     -0.7452248      0.3216921       2.666800      0.4997935     -0.5558560E-03  0.4661749E-01
   3.000000     -0.8173402      0.4042063       3.929808      0.4611254     -0.6104480E-03  0.5486112E-01
   2.800000     -0.9077252      0.5074955       6.269573      0.4151069      0.3424840E-02  0.6697402E-01
   2.600000      -1.027021      0.6901232       13.26561      0.3583664      0.3302464E-02  0.9412547E-01
   2.400000      -1.205075       1.170161       66.08066      0.2813373     -0.2386864E-01  0.2089524    
   2.200000      -1.544435       1.490084       5.902231      0.1510982      0.7800339      0.7800339    
   2.000000      -1.745536      0.7264447      0.3937904      0.7912920E-01  0.9112642      0.9112642    
   1.800000      -1.859367      0.4439878      0.1144746      0.4132440E-01  0.9568677      0.9568677    
   1.600000      -1.928166      0.2618457      0.4324709E-01  0.2009380E-01  0.9795910      0.9795910    
   1.400000      -1.968040      0.1431747      0.1662017E-01  0.8586816E-02  0.9913745      0.9913745    
   1.200000      -1.988617      0.6749765E-01  0.5898748E-02  0.2968744E-02  0.9970314      0.9970314    
   1.000000      -1.997164      0.2338375E-01  0.1572014E-02  0.7225960E-03  0.9992765      0.9992765    
  0.8000000      -1.999626      0.4750203E-02  0.2440710E-03  0.9371200E-04  0.9999058      0.9999058    
  0.6000000      -1.999988      0.2734294E-03  0.1025360E-04  0.3312000E-05  0.9999969      0.9999969    
  0.4000000      -2.000000       0.000000       0.000000       0.000000       1.000000       1.000000    
  0.2000000      -2.000000       0.000000       0.000000       0.000000       1.000000       1.000000    
